DN,nonlinear_correction
88.2,0.987599168804
92.2,0.987682829301
96.2,0.98776557523
100.2,0.987847347978
104.2,0.987928087273
108.2,0.988007731303
112.2,0.988086216866
116.2,0.988163479542
120.2,0.988239453887
124.2,0.988314073666
128.2,0.988387272113
132.2,0.988458982219
136.2,0.988529137061
140.2,0.988597670157
144.2,0.988664515866
148.2,0.988729609819
152.2,0.98879288938
156.2,0.988854294152
160.2,0.988913766508
164.2,0.988971252162
168.2,0.989026700756
172.2,0.989080066488
176.2,0.989131308747
180.2,0.989180392773
184.2,0.989227290323
188.2,0.989271980339
192.2,0.989314449615
196.2,0.989354693444
200.2,0.989392716251
204.2,0.989428532185
208.2,0.989462165669
212.2,0.989493651905
216.2,0.989523037302
220.2,0.989550379838
224.2,0.989575749336
228.2,0.989599227639
232.2,0.989620908691
236.2,0.989640898503
240.2,0.989659314999
244.2,0.98967628775
248.2,0.989691957579
252.2,0.989706476044
256.2,0.989720004797
260.2,0.989732714833
264.2,0.989744785617
268.2,0.989756404115
272.2,0.989767763728
276.2,0.989779063149
280.2,0.989790505141
284.2,0.989802295275
288.2,0.989814640619
292.2,0.989827748408
296.2,0.989841824711
300.2,0.989857073097
304.2,0.989873693337
308.2,0.989891880134
312.2,0.989911821915
316.2,0.989933699679
320.2,0.989957685918
324.2,0.989983943631
328.2,0.99001262541
332.2,0.990043872641
336.2,0.99007781478
340.2,0.990114568751
344.2,0.990154238426
348.2,0.990196914213
352.2,0.990242672736
356.2,0.990291576611
360.2,0.990343674311
364.2,0.990399000109
368.2,0.990457574111
372.2,0.990519402347
376.2,0.990584476949
380.2,0.990652776372
384.2,0.990724265687
388.2,0.990798896916
392.2,0.990876609419
396.2,0.990957330319
400.2,0.99104097497
404.2,0.991127447447
408.2,0.991216641085
412.2,0.991308439023
416.2,0.991402714786
420.2,0.991499332884
424.2,0.991598149427
428.2,0.991699012753
432.2,0.99180176408
436.2,0.991906238155
440.2,0.992012263923
444.2,0.992119665195
448.2,0.992228261325
452.2,0.992337867889
456.2,0.992448297359
460.2,0.992559359784
464.2,0.992670863456
468.2,0.992782615577
472.2,0.992894422912
476.2,0.993006092433
480.2,0.993117431946
484.2,0.993228250701
488.2,0.993338359992
492.2,0.99344757372
496.2,0.993555708944
500.2,0.993662586408
504.2,0.993768031032
508.2,0.993871872382
512.2,0.993973945104
516.2,0.994074089337
520.2,0.994172151082
524.2,0.994267982547
528.2,0.99436144246
532.2,0.994452396341
536.2,0.994540716755
540.2,0.994626283525
544.2,0.994708983913
548.2,0.994788712785
552.2,0.99486537273
556.2,0.99493887417
560.2,0.995009135434
564.2,0.995076082816
568.2,0.995139650608
572.2,0.99519978112
576.2,0.995256424675
580.2,0.995309539598
584.2,0.995359092183
